density of cars,density of busses,flow rate,
0.710529635,0.113666782,0.195308,0.937863199
,,,0
0.865178549,0.058256888,0.142612,0.981692325
,,,0
0.337061273,0.215740269,0.352508,0.768541811
,,,0
0.229401238,0.01241396,0.53772,0.254229157
,,,0
0.686953658,0.144054968,0.202152,0.975063595
,,,0
0.960657784,0.004875013,0.143724,0.97040781
,,,0
0.61281215,0.12274826,0.232992,0.858308669
,,,0
0.700478535,0.048898841,0.256252,0.798276217
,,,0
0.311012607,0.318598143,0.3004,0.948208893
,,,0
0.914340667,0.018225205,0.15838,0.950791077
,,,0
0.563146612,0.124012585,0.256664,0.811171781
,,,0
0.461280698,0.14069261,0.312856,0.742665918
,,,0
0.307316109,0.030180424,0.492808,0.367676956
,,,0
0.365592228,0.104035544,0.40228,0.573663317
,,,0
0.819250707,0.067536418,0.169348,0.954323544
,,,0
0.666682952,0.081732852,0.238352,0.830148657
,,,0
0.290512539,0.153521532,0.41642,0.597555603
,,,0
0.41550433,0.193222955,0.316008,0.801950239
,,,0
0.724903438,0.111085993,0.193152,0.947075425
,,,0
0.727326196,0.118159577,0.19372,0.96364535
,,,0
0.764354753,0.004603554,0.226816,0.773561862
,,,0
0.679842639,0.137268231,0.201044,0.954379101
,,,0
0.583760492,0.102519487,0.267092,0.788799466
,,,0
0.244175485,0.256464495,0.406928,0.757104476
,,,0
0.146229448,0.161344484,0.542508,0.468918415
,,,0
0.666083136,0.134367117,0.204096,0.93481737
,,,0
0.600845681,0.158360722,0.230996,0.917567125
,,,0
0.424473198,0.242246023,0.267996,0.908965243
,,,0
0.113638019,0.312987561,0.478348,0.73961314
,,,0
0.848897415,0.000905175,0.198108,0.850707765
,,,0
0.807400593,0.023899965,0.200628,0.855200523
,,,0
0.160507578,0.252692245,0.488532,0.665892067
,,,0
0.351597914,0.298775971,0.299092,0.949149856
,,,0
0.953619718,0.016354201,0.149764,0.986328119
,,,0
0.42938333,0.095021819,0.35224,0.619426968
,,,0
0.213495557,0.072951634,0.516688,0.359398825
,,,0
0.603530853,0.119737823,0.236824,0.843006498
,,,0
0.825319264,0.037342893,0.185008,0.90000505
